id,index,Event Date,Pref_days,pref_times,pref_topic
7574515278,42,2024-09-26,Mondays, 4pm - 6pm, networking
7574515278,42,2024-09-26, Fridays,12pm - 2pm,Starting business
7574515278,42,2024-09-26, Fridays,12pm - 2pm, networking
7574515278,42,2024-09-26, Fridays, 4pm - 6pm,Starting business
7574515278,42,2024-09-26, Fridays, 4pm - 6pm, networking
7574516289,43,2024-09-26,Mondays,4pm - 6pm,nil
7574516289,43,2024-09-26,Mondays, 6pm - 8pm,nil
7574516289,43,2024-09-26, Tuesdays,4pm - 6pm,nil
7574516289,43,2024-09-26, Tuesdays, 6pm - 8pm,nil
7574516289,43,2024-09-26, Wednesdays,4pm - 6pm,nil
7574516289,43,2024-09-26, Wednesdays, 6pm - 8pm,nil
7574516289,43,2024-09-26, Thursdays,4pm - 6pm,nil
7574516289,43,2024-09-26, Thursdays, 6pm - 8pm,nil
7574516289,43,2024-09-26, Fridays,4pm - 6pm,nil
7574516289,43,2024-09-26, Fridays, 6pm - 8pm,nil
8907081097,44,2025-04-10,Thursdays,4pm - 6pm,-
8907083429,45,2025-04-10,Mondays,4pm - 6pm,Sparring and developing ideas
8907083429,45,2025-04-10, Tuesdays,4pm - 6pm,Sparring and developing ideas
8907083429,45,2025-04-10, Wednesdays,4pm - 6pm,Sparring and developing ideas
8907083429,45,2025-04-10, Thursdays,4pm - 6pm,Sparring and developing ideas
8907083429,45,2025-04-10, Fridays,4pm - 6pm,Sparring and developing ideas
8907085497,46,2025-04-10,Fridays,6pm - 8pm,Web3
8907100307,47,2025-04-10,Wednesdays,4pm - 6pm,Marketing for build up your own firm
8907198922,48,2025-04-10,Fridays,4pm - 6pm,Sales
8907198922,48,2025-04-10,Fridays,4pm - 6pm, finance
8907198922,48,2025-04-10,Fridays,4pm - 6pm, legal
8907256684,49,2025-04-10,Thursdays,6pm - 8pm,Businesses in trend 
8907256684,49,2025-04-10,Thursdays,6pm - 8pm,beauty industry
8907256684,49,2025-04-10, Fridays,6pm - 8pm,Businesses in trend 
8907256684,49,2025-04-10, Fridays,6pm - 8pm,beauty industry
8907256684,49,2025-04-10, Saturdays,6pm - 8pm,Businesses in trend 
8907256684,49,2025-04-10, Saturdays,6pm - 8pm,beauty industry
8907259768,50,2025-04-10,Fridays,6pm - 8pm,New business ideas
8907276201,51,2025-04-10,Thursdays,6pm - 8pm,New latest business ideas
8907276201,51,2025-04-10, Fridays,6pm - 8pm,New latest business ideas
8907383301,52,2025-04-10,Tuesdays,4pm - 6pm,Marketing
8907612004,53,2025-04-10,Thursdays,6pm - 8pm,Networking
8907612004,53,2025-04-10,Thursdays,6pm - 8pm, startups
8907612004,53,2025-04-10,Thursdays,6pm - 8pm, funding
8907612004,53,2025-04-10,Thursdays, 4pm - 6pm,Networking
8907612004,53,2025-04-10,Thursdays, 4pm - 6pm, startups
8907612004,53,2025-04-10,Thursdays, 4pm - 6pm, funding
8907612004,53,2025-04-10, Fridays,6pm - 8pm,Networking
8907612004,53,2025-04-10, Fridays,6pm - 8pm, startups
8907612004,53,2025-04-10, Fridays,6pm - 8pm, funding
8907612004,53,2025-04-10, Fridays, 4pm - 6pm,Networking
8907612004,53,2025-04-10, Fridays, 4pm - 6pm, startups
8907612004,53,2025-04-10, Fridays, 4pm - 6pm, funding
